ID,Sex,year,hab,dispo,trap,ars,ext,barx,bary
F10308,F,2009,F,bad,7,0,0,611587,2406300
F10467,F,2009,F,bad,11,2,0,611598,2406304
F10467,F,2010,F,good,2,8,0,611595,2406285
F10481,F,2010,O,good,2,6,0.5,611567,2406738
F10481,F,2011,O,bad,4,1,0.75,611541,2406736
F1332,F,2008,O,good,3,4,0,611600,2406421
F1395,F,2006,O,bad,19,4,0.47,611597,2406713
F141,F,2006,F,bad,21,2,0,611607,2406373
F143,F,2008,F,good,2,2,0,611745,2406324
F1597,F,2012,F,good,10,1,0.1,611558,2406378
F1645,F,2006,F,bad,7,0,0,611704,2406390
F1752,F,2011,F,bad,5,5,0.4,611796,2406421
F1790,F,2008,O,good,8,4,0,611554,2406550
F1905,F,2012,O,good,13,0,0,611554,2406548
F1907,F,2006,O,bad,7,1,0.14,611718,2406531
F1940,F,2011,F,bad,4,5,0,611603,2406279
F2127,F,2008,F,good,2,2,0,611612,2406295
F2142,F,2006,F,bad,4,0,0,611824,2406346
F220,F,2008,F,good,2,0,0,611812,2406345
F2354,F,2011,O,bad,5,1,0,611720,2406477
F2354,F,2012,O,good,5,4,0.4,611731,2406543
F305,F,2006,F,bad,29,1,0,611554,2406381
F3882,F,2012,O,good,5,0,0,611625,2406401
F3957,F,2006,F,bad,4,1,0.5,611788,2406446
F3966,F,2010,O,good,2,4,0.5,611509,2406590
F4078,F,2008,O,good,2,4,0,611555,2406636
F4198,F,2012,F,good,4,1,0,611595,2406274
F4613,F,2011,O,bad,2,0,0.5,611514,2406605
F4668,F,2006,F,bad,4,1,0,611723,2406300
F4668,F,2008,F,good,5,4,0,611730,2406298
F4737,F,2006,F,bad,3,0,0,611571,2406297
F4804,F,2011,O,bad,5,0,0.4,611584,2406700
F484,F,2006,F,bad,28,0,0.18,611732,2406280
F4885,F,2010,O,good,5,3,0,611686,2406483
F4973,F,2008,O,good,3,1,0,611535,2406600
F5068,F,2006,F,bad,7,3,0,611618,2406289
F5122,F,2009,F,bad,4,1,0.5,611614,2406243
F5274,F,2010,O,good,2,7,0,611545,2406702
F565,F,2006,F,bad,8,0,0.5,611635,2406246
F5975,F,2011,F,bad,3,0,0,611572,2406368
F5975,F,2012,F,good,2,2,0,611556,2406367
F6334,F,2006,F,bad,2,1,0,611579,2406346
F6820,F,2009,F,bad,2,2,0.5,611784,2406251
F7035,F,2006,O,bad,14,4,0,611613,2406431
F7305,F,2011,F,bad,6,4,0.5,611545,2406299
F7540,F,2011,F,bad,3,2,0.67,611881,2406330
F7675,F,2006,O,bad,14,1,0,611579,2406555
F7722,F,2006,F,bad,4,1,0.25,611587,2406269
F793,F,2012,O,good,3,0,0.67,611534,2406721
F8310,F,2011,F,bad,4,2,0.75,611799,2406242
F8748,F,2011,O,bad,5,2,0.6,611512,2406669
F8824,F,2006,F,bad,25,1,0,611671,2406299
F9089,F,2011,F,bad,3,0,0,611622,2406351
F91,F,2006,O,bad,20,0,0,611626,2406486
F9133,F,2006,O,bad,18,0,0.39,611699,2406580
F9292,F,2012,F,good,4,0,0,611597,2406374
F9524,F,2012,F,good,6,1,0,611574,2406346
M10279,M,2010,O,good,6,4,0.17,611540,2406569
M10279,M,2011,O,bad,17,1,0.06,611537,2406544
M10401,M,2011,O,bad,8,1,0.75,611516,2406673
M10407,M,2008,F,good,6,2,0,611593,2406359
M1056,M,2008,F,good,3,0,0,611725,2406319
M1168,M,2012,F,good,6,1,0,611598,2406368
M1558,M,2006,F,bad,4,0,0,611563,2406367
M1714,M,2012,O,good,5,1,0,611612,2406426
M1988,M,2011,F,bad,2,0,0.5,611702,2406253
M2059b,M,2011,F,bad,9,6,0.22,611560,2406348
M236,M,2011,O,bad,10,0,0.7,611712,2406577
M2442,M,2011,O,bad,5,7,0.2,611753,2406494
M2554,M,2009,O,bad,5,3,0.6,611536,2406673
M2754,M,2012,O,good,3,1,0.67,611518,2406640
M2851,M,2010,O,good,2,4,0.5,611746,2406531
M2866,M,2008,O,good,3,0,0,611542,2406547
M3623,M,2012,F,good,9,3,0,611595,2406382
M377,M,2009,F,bad,4,1,0.25,611650,2406264
M4059,M,2011,O,bad,2,0,0.5,611514,2406605
M4256,M,2008,F,good,2,1,0,611840,2406328
M4256,M,2009,F,bad,2,1,0,611838,2406344
M4553,M,2006,F,bad,3,2,0.33,611601,2406263
M4933,M,2011,F,bad,9,0,0.11,611663,2406278
M4971,M,2009,F,bad,4,4,0,611593,2406367
M5348,M,2008,O,good,3,4,0,611572,2406699
M5727,M,2010,O,good,2,10,0.5,611534,2406712
M5727,M,2011,O,bad,3,0,0.67,611534,2406670
M6023,M,2011,F,bad,4,2,0,611597,2406374
M6048,M,2009,F,bad,6,2,0,611578,2406292
M6049,M,2006,F,bad,3,0,0,611783,2406415
M6154,M,2006,O,bad,6,0,0.33,611649,2406646
M6336,M,2006,F,bad,23,6,0.04,611672,2406295
M6352,M,2012,F,good,5,3,0.2,611543,2406401
M6353,M,2011,O,bad,9,8,0,611571,2406459
M7250,M,2011,F,bad,4,1,0,611588,2406331
M7250,M,2012,F,good,2,4,0,611558,2406345
M7514,M,2008,F,good,2,2,0,611798,2406350
M7751,M,2006,F,bad,6,0,0.67,611779,2406249
M80,M,2012,O,good,9,3,0.67,611735,2406538
M8542,M,2010,O,good,2,4,0.5,611514,2406646
M858,M,2011,F,bad,4,3,0.25,611837,2406316
M8680,M,2012,F,good,9,2,0.22,611579,2406334
M8854,M,2006,O,bad,21,4,0.19,611675,2406508
M9173,M,2011,F,bad,3,5,0,611627,2406300
M9199,M,2006,O,bad,13,9,0.38,611586,2406671
M9555,M,2006,F,bad,3,2,0.67,611699,2406245
M9907,M,2006,O,bad,35,6,0.6,611524,2406661